"","gene_ID","CSDE1_vs_IgG_log2FoldChange","CSDE1_vs_IgG_pvalue","CSDE1_vs_IgG_padj","CSDE1_vs_Capture_log2FoldChange","CSDE1_vs_Capture_pvalue","CSDE1_vs_Capture_padj","GENE_NAME"
"2525","ENSMUSG00000020950.10",1.68991221677768,6.21853465601051e-15,1.26415606816546e-13,0.233529513121994,0.278402728405934,0.398751121765518,"Foxg1"
"2526","ENSMUSG00000020952.10",-0.587136919408475,0.0998731710699649,0.17538475422892,-1.68264861644509,1.8203043986463e-06,1.16190181880167e-05,"Scfd1"
"2527","ENSMUSG00000020953.17",0.109050456046591,0.906501870127138,0.939046693711303,-0.630724175002681,0.493644403989472,0.610050481335328,"Coch"
"2528","ENSMUSG00000020954.16",-0.247057676244509,0.192594761668046,0.2953033766225,-0.862403812813712,3.56943161331384e-06,2.14540394541867e-05,"Strn3"
"2529","ENSMUSG00000020955.9",0.135988569832664,0.615782896862505,0.715935036345964,-0.20565936251886,0.417693431926861,0.539812637156093,"Ap4s1"
"2530","ENSMUSG00000020956.14",1.54930193694151,0.0304069925528707,0.0656716526247909,0.658253893026451,0.337759476726657,0.46076847204592,"Dtd2"
"2531","ENSMUSG00000020961.15",1.52188831723877,0.000289435431206969,0.00113152942183919,1.27128532136622,0.00233118228290199,0.00751190606612047,"Ston2"
"2532","ENSMUSG00000020962.14",-0.17423394156048,0.365335065212934,0.484330518909712,-0.804613492771003,2.08070162982131e-05,0.000108361995107626,"Gtf2a1"
"2533","ENSMUSG00000020963.15",-0.295872065352973,0.685982612352711,0.774436125182335,0.103625402914159,0.885616800116659,0.92171722378441,"Tshr"
"2534","ENSMUSG00000020964.14",0.613086019822445,5.70527254633874e-06,3.2082532613338e-05,1.09367237833291,2.39784266962372e-16,6.49294709298996e-15,"Sel1l"
"2535","ENSMUSG00000020973.7",-1.01074494958694,1.87104079293756e-07,1.36002854148023e-06,0.435671186776766,0.0237128309103129,0.055123461355295,"Dnaaf2"
"2536","ENSMUSG00000020974.6",-1.3807016159104,0.00340241016797481,0.0100407249194002,-1.65088334789042,0.000213089550399518,0.000894927293911561,"Pole2"
"2537","ENSMUSG00000020978.10",-0.0213248851291876,0.838098916986583,0.892576417953647,0.534630628974592,1.81032717315257e-07,1.37325659738335e-06,"Klhdc2"
"2538","ENSMUSG00000020982.9",-1.21880174682333,8.33562217413652e-07,5.44966568103676e-06,-1.00914207651431,3.62870075534834e-05,0.000179787411478502,"Nemf"
"2539","ENSMUSG00000020986.13",1.77893377944241,1.43995529547333e-09,1.45359363858023e-08,0.519973697157418,0.0730843534526008,0.139536598366377,"Sec23a"
"2540","ENSMUSG00000020988.9",-0.873702342663788,0.0654096980584406,0.124180883903998,0.496925870476753,0.290107840721905,0.410993580843429,"L2hgdh"
"2541","ENSMUSG00000020990.5",-1.51061187254084,5.40551467395337e-06,3.05562426774323e-05,0.0118194102582365,0.971419964119691,0.981160924641443,"Cdkl1"
"2542","ENSMUSG00000020993.9",-1.48952519808506,1.00793967985068e-06,6.48562660969556e-06,-1.70910109538012,1.25244320003744e-08,1.15958529005486e-07,"Trappc6b"
"2543","ENSMUSG00000020994.5",-1.0207322298208,0.00449101182179584,0.0127522356335603,-0.51766730193594,0.147877826728642,0.243983108594138,"Pnn"
"2544","ENSMUSG00000021000.17",-0.262978663798479,0.396233841900463,0.515000267783345,-0.412681032051939,0.179502277353303,0.284706328814738,"Mia2"
"2545","ENSMUSG00000021003.10",-0.740744066348821,0.00145106774763208,0.00473917226965817,-0.914191214876987,5.21171088349829e-05,0.000250698199727868,"Galc"
"2546","ENSMUSG00000021007.14",-1.30552536132674,0.00100233555315721,0.00342047940440765,-1.63899167466682,2.71712282837688e-05,0.00013843884293998,"Spata7"
"2547","ENSMUSG00000021009.15",-0.0143737475633268,0.966427378157853,0.979902947052863,-0.136979295242771,0.680764684377072,0.767776355013008,"Ptpn21"
"2548","ENSMUSG00000021010.8",0.940041591442037,0.331304775117642,0.449088963136396,-0.602949521585432,0.531545211529698,0.643279999842353,"Npas3"
"2549","ENSMUSG00000021012.16",0.092499701825205,0.667307345674205,0.75916116038797,-0.98890288077597,2.74808155688035e-06,1.69280346440627e-05,"Zc3h14"
"2550","ENSMUSG00000021013.16",-1.65162500894864,7.32348540491518e-07,4.82234678315033e-06,-1.04896359158148,0.00113623559290438,0.00398955581097934,"Ttc8"
"2551","ENSMUSG00000021018.8",-0.976059607320069,8.57257951984548e-07,5.59062709917493e-06,-0.461319495938121,0.015328905700779,0.0383369030432033,"Polr2h"
"2552","ENSMUSG00000021022.9",-1.17867361212812,0.000249240042709324,0.000990476579871522,-1.43967851850103,4.96974368394342e-06,2.91071377680673e-05,"Ppp2r3c"
"2553","ENSMUSG00000021023.14",-0.830843387277124,0.0228561897241354,0.0516900653864853,-1.14521295560555,0.00114561784612987,0.00402018881226125,"1110008L16Rik"
"2554","ENSMUSG00000021024.14",0.440468279285321,0.0213979704930609,0.0488867743304208,-0.386872903986176,0.0265310293197538,0.0606593701034831,"Psma6"
"2555","ENSMUSG00000021025.8",0.968416760335428,9.67074661839294e-05,0.000422406783436691,0.49505897109133,0.0336995899783138,0.074030063928394,"Nfkbia"
"2556","ENSMUSG00000021027.17",0.358725302567338,0.0901276267742014,0.161586274232241,-0.503845253425553,0.016051779165037,0.0397811566382936,"Ralgapa1"
