target_id	gene
NR_045800.1	1700021N21Rik
NR_003953.1	1700022A21Rik
NR_045509.1	1700022A22Rik
NR_040568.1	1700022E09Rik
NR_126477.1	1700022H01Rik
NR_045488.1	1700022H16Rik
XR_105888.1	1700022N22Rik
XR_385484.2	1700022N22Rik
NR_045909.1	1700023C21Rik
NR_038039.1	1700023F02Rik
NM_001254724.2	1700023F06Rik
XM_011249227.1	1700023F06Rik
XR_373819.3	1700023G09Rik
XR_373818.3	1700023G09Rik
XR_865834.2	1700023G09Rik
XR_373821.3	1700023G09Rik
NR_045479.1	1700024B18Rik
NR_045363.1	1700024F13Rik
NR_126476.1	1700024I08Rik
NR_126471.1	1700024N05Rik
NR_126472.1	1700024N05Rik
NM_027064.1	1700024P04Rik
NR_040310.1	1700025B11Rik
NR_033448.1	1700025C18Rik
XR_389128.2	1700025D23Rik
NM_027074.3	1700025F22Rik
XM_011247335.1	1700025F22Rik
XM_011247336.1	1700025F22Rik
NR_040578.1	1700025F24Rik
NR_131051.1	1700025J12Rik
XR_001779705.1	1700025K04Rik
NR_045825.1	1700025K24Rik
NR_040687.1	1700025M24Rik
NR_040688.1	1700025M24Rik
NR_040689.1	1700025M24Rik
NR_040523.1	1700025N23Rik
NR_028286.1	1700026D11Rik
NR_045487.1	1700026F02Rik
XR_384925.1	1700026J12Rik
NR_130985.1	1700026J14Rik
NR_038001.1	1700027A15Rik
NR_038002.1	1700027A15Rik
NR_131162.1	1700027F06Rik
NR_040681.1	1700027F09Rik
NR_040594.1	1700027H10Rik
NR_040741.1	1700027I24Rik
NR_040581.2	1700027J07Rik
NR_033605.1	1700028B04Rik
NR_045377.1	1700028D13Rik
NR_045378.1	1700028D13Rik
NR_045699.1	1700028E10Rik
NR_045700.1	1700028E10Rik
NR_038042.1	1700028I16Rik
NR_029436.1	1700028J19Rik
NR_036591.1	1700028M03Rik
NR_040509.1	1700028P15Rik
NR_040531.1	1700029B22Rik
NM_025585.3	1700029F12Rik
NM_001080777.2	1700029F12Rik
NM_001284205.1	1700029F12Rik
NR_104276.1	1700029F12Rik
XM_011244689.2	1700029F12Rik
NM_025601.3	1700029H14Rik
NM_001080781.2	1700029H14Rik
XM_006508849.3	1700029H14Rik
NR_040494.1	1700029J03Rik
XR_865702.2	1700029M03Rik
NR_027909.1	1700029M20Rik
NR_015613.1	1700029M20Rik
NR_045489.1	1700029N11Rik
NM_025503.4	1700029P11Rik
NR_045457.1	1700030A11Rik
NR_015521.1	1700030C10Rik
XR_001780171.1	1700030C12Rik
XR_375132.3	1700030C14Rik
NR_045731.1	1700030F04Rik
NM_028180.3	1700030F18Rik
NR_040592.1	1700030L20Rik
XR_381601.3	1700030L22Rik
NR_045903.1	1700030M09Rik
NR_045304.1	1700030N03Rik
NR_045345.1	1700030O20Rik
NR_045439.1	1700031A10Rik
NM_028496.1	1700031F05Rik
XM_006528312.2	1700031F05Rik
XR_106292.3	1700031L13Rik
NR_138557.1	1700031L13Rik
NR_015496.1	1700031M16Rik
NR_045910.1	1700031P21Rik
XR_877561.1	1700034B16Rik
NR_045396.1	1700034G24Rik
NR_045397.1	1700034G24Rik
NR_030669.1	1700034H15Rik
NR_045392.1	1700034I23Rik/Gm10731
NR_045380.1	1700034I23Rik/Gm10731
NR_040756.1	1700034K08Rik
NR_040462.1	1700034P13Rik
XR_001779186.1	1700036A12Rik
XR_001779187.1	1700036A12Rik
NR_040542.1	1700036G14Rik
NR_045315.1	1700039E22Rik
XR_001778941.1	1700039I01Rik
XR_373460.2	1700039I01Rik
XR_105612.1	1700039M10Rik
XR_383461.3	1700039M10Rik
XR_104789.3	1700040D17Rik
XR_001783136.1	1700040G22Rik
NR_126428.1	1700041A01Rik
XR_001781712.1	1700041B01Rik
NR_033784.1	1700041C23Rik
NR_040573.1	1700041M19Rik
NM_001099295.2	1700042G07Rik
NR_038179.1	1700042G15Rik
NR_038178.1	1700042G15Rik
NR_045178.1	1700042O10Rik
NR_045624.1	1700044C05Rik
NR_033785.1	1700044K03Rik
NR_040649.1	1700045H11Rik
NR_045918.1	1700046C09Rik
NR_110583.1	1700047A11Rik
NR_073363.1	1700047E10Rik
NR_040447.1	1700047G03Rik
NM_028527.1	1700047I17Rik2/Fam177a
NM_001100116.1	1700047I17Rik2/Fam177a
XM_006515319.3	1700047I17Rik2/Fam177a
XM_006516277.3	1700047I17Rik2/Fam177a
NR_040691.1	1700047L14Rik
NR_015458.1	1700047M11Rik
XR_382360.2	1700048B10Rik
XR_382361.2	1700048B10Rik
XR_001780945.1	1700048B10Rik
XR_001780946.1	1700048B10Rik
XR_382362.2	1700048B10Rik
XR_168421.2	1700048F04Rik
NR_045300.1	1700048M11Rik
XR_877781.2	1700048O14Rik
XR_386622.2	1700048O14Rik
XR_001782636.1	1700048O14Rik
XR_001782637.1	1700048O14Rik
XR_877784.1	1700048O14Rik
XR_386623.2	1700048O14Rik
NR_033553.1	1700048O20Rik
NR_033636.1	1700049E15Rik
XR_874539.2	1700049E17Rik1
XR_001781230.1	1700049E17Rik1
XR_001781231.1	1700049E17Rik1
XR_001781232.1	1700049E17Rik1
XR_383373.1	1700049E17Rik2
XR_001781223.1	1700049E17Rik2
XR_001781224.1	1700049E17Rik2
XR_001781225.1	1700049E17Rik2
XR_001781226.1	1700049E17Rik2
NR_040525.1	1700049E22Rik
XR_876697.2	1700049J03Rik
XR_001782188.1	1700049J03Rik
NR_003644.1	1700049L16Rik
NR_045922.1	1700051A21Rik
XR_867183.1	1700052H01Rik
XR_867184.1	1700052H01Rik
XR_001783823.1	1700052H01Rik
XR_001783824.1	1700052H01Rik
XR_001783825.1	1700052H01Rik
NR_033786.1	1700052I22Rik
NR_027956.1	1700052K11Rik
NR_045320.1	1700054A03Rik
NR_027865.1	1700054K19Rik
NR_045919.1	1700054M17Rik
XR_383299.3	1700054O19Rik
NR_040726.1	1700055C04Rik
XR_035225.4	1700055D18Rik
NM_028516.1	1700056E22Rik
NM_001033184.3	1700057G04Rik
XM_011242837.2	1700057G04Rik
XM_011242838.2	1700057G04Rik
XM_011242839.1	1700057G04Rik
XR_001779073.1	1700057G04Rik
NR_040774.1	1700057H15Rik
NR_130155.1	1700057H21Rik
NR_045732.1	1700060C16Rik
NR_036606.2	1700060C20Rik
NR_038180.1	1700061F12Rik
NM_030141.1	1700061G19Rik
XR_385395.2	1700061G19Rik
XR_385396.3	1700061G19Rik
XM_006525141.2	1700061G19Rik
XM_006525142.2	1700061G19Rik
NR_038029.1	1700061I17Rik
NR_131065.1	1700061J23Rik
XR_383101.3	1700062C10Rik
XR_383102.3	1700062C10Rik
NR_040467.1	1700063A18Rik
NR_040392.1	1700063D05Rik
XR_140778.2	1700063H04Rik
XR_001779351.1	1700063H06Rik
NR_045383.1	1700063O14Rik
XR_879187.1	1700064F23Rik
NR_045348.1	1700064J06Rik
NR_045288.1	1700064M15Rik
NM_001271569.1	1700065D16Rik
NR_073361.1	1700065D16Rik
NR_108057.1	1700065I16Rik
NR_040315.2	1700065I16Rik
NR_040526.1	1700065J11Rik
NR_040468.1	1700065J18Rik
NR_108032.1	1700065L07Rik
NR_045386.1	1700065O20Rik
NR_040465.1	1700066B17Rik
NM_001033168.2	1700066B19Rik
XM_006526290.3	1700066B19Rik
XM_001473318.2	1700066C05Rik
NR_126543.1	1700066J03Rik
NR_045924.1	1700066N21Rik
NR_015541.2	1700066O22Rik
NR_040471.1	1700067G17Rik
NM_026625.2	1700067P10Rik
NR_033216.1	1700069L16Rik
NR_040527.1	1700069P05Rik
XR_377011.3	1700071G01Rik
NM_001033765.2	1700071K01Rik
NR_045444.1	1700071M16Rik
NR_045445.1	1700071M16Rik
NR_040727.1	1700072B07Rik
NR_131143.1	1700072I22Rik
NR_131109.1	1700072I22Rik
NR_045733.1	1700072O05Rik
NR_003625.1	1700073E17Rik
NR_138420.1	1700074H08Rik
NM_028550.3	1700074P13Rik
XM_011241488.2	1700074P13Rik
XM_017321778.1	1700074P13Rik
XM_017321779.1	1700074P13Rik
XM_006506690.3	1700074P13Rik
XM_017321780.1	1700074P13Rik
XM_011241489.2	1700074P13Rik
XM_006506693.3	1700074P13Rik
NM_028562.3	1700080E11Rik
XR_868160.1	1700080G11Rik
XR_868161.1	1700080G11Rik
XR_868162.1	1700080G11Rik
XR_376666.2	1700080G11Rik
XR_868163.1	1700080G11Rik
XR_376664.1	1700080G11Rik
XR_868164.1	1700080G11Rik
XR_868165.1	1700080G11Rik
XR_868166.1	1700080G11Rik
XR_868167.1	1700080G11Rik
XR_868168.1	1700080G11Rik
XR_868169.1	1700080G11Rik
XM_017321874.1	1700080G18Rik
NR_040500.1	1700080N15Rik
NM_028851.1	1700080O16Rik
XM_006541551.3	1700080O16Rik
XM_006541552.3	1700080O16Rik
XR_377078.2	1700081B01Rik
XR_377079.2	1700081B01Rik
NR_040693.1	1700081H04Rik
NR_136902.1	1700083H02Rik
NR_131045.1	1700084D21Rik
NR_028299.1	1700084E18Rik
NR_045965.1	1700084F23Rik
NR_033608.1	1700084J12Rik
NR_126536.1	1700084M14Rik
NR_046045.1	1700085C21Rik
XR_879929.2	1700086D15Rik
NR_030733.1	1700086L19Rik
NR_030734.1	1700086L19Rik
NR_030735.1	1700086L19Rik
NR_015475.1	1700086O06Rik
NR_027903.1	1700086O06Rik
NR_027904.1	1700086O06Rik
XR_868180.2	1700086P04Rik
XR_868181.2	1700086P04Rik
XR_868182.1	1700086P04Rik
XR_390171.3	1700086P04Rik
XR_141449.4	1700086P04Rik
XR_882405.2	1700086P04Rik
XR_001781425.1	1700087I21Rik
XR_001781426.1	1700087I21Rik
XR_001781427.1	1700087I21Rik
XR_001781428.1	1700087I21Rik
XR_001781429.1	1700087I21Rik
XR_383706.1	1700087I21Rik
XR_001781430.1	1700087I21Rik
XR_001781431.1	1700087I21Rik
XR_001781432.1	1700087I21Rik
XR_001781433.1	1700087I21Rik
XR_001781434.1	1700087I21Rik
XR_001781435.1	1700087I21Rik
