"","Csde1","Csde2","Csde3","IgG1","IgG2","IgG3","Input1","Input2","Input3"
"Gm32055",0,0,0,0,0,0,0,0,0
"Gm32057",5.56872342740743,5.30364272394162,0,0,0,12.6550822416509,5.43616807008187,5.33637651812959,4.71961404556457
"Gm32058",0,0,0,0,0,0,0,0,0
"Gm32059",27.0606636168774,37.1195579010626,40.2954450370111,217.987038113709,168.279018873395,83.9090960148931,115.445222728193,140.982323465234,141.802228016267
"Gm32061",41.1631342586279,13.9369058370446,12.9362285991269,47.362209592439,143.696005580618,3.64645311009652,45.9842340854231,45.3481000811865,45.7630819747669
"Gm32062",0,1.85597789505313,1.61181780148044,0,0,0,7.185387306734,4.02806638472097,5.63452561654042
"Gm32063",0,0,0,6.4650140164699,0,0,8.64666123029325,3.7289701208183,7.85116930576216
"Gm32064",13.5303318084387,11.1358673703188,9.67090680888266,0,0,58.9148972019462,53.1718660698316,58.406962578454,37.5635041102695
"Gm32067",0,0,0,0,0,0,1.61101749216985,0.853948082713141,2.26885802707917
"Gm32068",1.35303318084387,1.39198342128985,0,0,0,0,0,0.503508298090121,3.28680660964858
"Gm32069",1.94965230046942,7.8961594373399,11.6697416492169,1.76242643557671,16.9275091363057,23.4054331708669,25.8957430486737,26.0572421188317,27.9960096436653
"Gm32070",0,0,0,0,0,0,1.4579620636442,1.02134303978414,1.42823464533859
"Gm32073",0,0,0,0,0,0,0.374040616078442,0,1.34555516785293
"Gm32074",0,0,0,0,0,0,0,0,0.469543801378368
"Gm32076",2.43362391130991,0,0,0,0,0,1.61663584436288,0,0.292008133534356
"Gm32079",4.05909954253161,1.39198342128985,1.61181780148044,0,0,8.92649957605246,1.91610328179573,5.53859127899133,3.28680660964858
"Gm32080",35.3022415680343,45.9737276516746,34.4591626504877,66.3249110510036,166.672361050053,84.0561074375712,112.099666039268,76.8474200846033,82.8154771232744
"Gm32081",0,0,0,0,0,0,0,0,0
"Gm32082",0,4.83057157513733,2.82128147456247,37.0186036917839,8.95783859568689,0,5.31044483024966,4.7680016232651,9.16253874861324
"Gm32084",2.82516770992177,0.990207347234516,3.36407676586325,0,3.6993817744976,0,5.65631472047582,7.91981738614794,6.9806409755615
"Gm32085",22.0187474874116,24.7789351312764,35.0606486825062,75.9994201706198,90.0495104408592,88.1889952481222,80.2382093974522,68.129201671475,67.3218662540293
"Gm32089",0,0.463994473763282,0,2.75932959637606,0,26.7794987281574,1.43967081384721,3.02104978854072,2.88219151958515
"Gm32090",5.29801650357807,3.06238751696196,2.11329430341683,0,0,39.8748608515378,19.2283946835935,9.51033989091926,14.051024913605
"Gm32091",41.2459540875624,21.8887692769533,24.9817040130312,155.971613502938,58.3101309986971,6.03383868693726,215.893731677492,191.12475804746,122.983172761444
"Gm32092",0.970839837218911,1.11578593040305,2.34758767370636,0,0,0,1.69522416434091,1.82566423714782,1.10866519052357
"Gm32093",1.35303318084387,0,0,0,0,0,2.39512910224467,1.00701659618024,0.939087602756737
"Gm32098",10.832631681784,9.02390218745743,5.5517758068531,10.8507043665301,24.8111560907729,37.5263733098413,33.5785287661728,33.8844014514669,27.886982736124
"Gm32099",0,0,0,0,0,0,0,0,0
