"","csde_values.average_csde","input_values.average_input"
"Clec4a4",0,0
"Clec4b2",0,0
"CLEC4C",0,0
"CLEC4D",0,0
"CLEC4E",1.0939140497118,0
"CLEC4F",0.154664824587761,0.487186646329329
"CLEC4G",0.114073791540543,1.30445225618776
"CLEC4M",0,0
"CLEC5A",3.47439786624543,4.95686823873547
"CLEC6A",2.49698447361105,1.29928485832561
"CLEC7A",0,5.3429727907603
"CLEC9A",3.94862756305426,2.93328943377842
"CLGN",52.0583521434164,59.5829787022257
"CLHC1",0.963463282104521,2.94805311325721
"CLIC1",299.246642720954,206.919475276122
"CLIC3",80.6965932900945,91.5960919503917
"CLIC4",2345.15732200937,926.88034072488
"CLIC5",62.7165267356494,48.7913968143714
"CLIC6",523.674625149113,194.266853545175
"CLINT1",744.838429745752,412.637154511023
"CLIP1",3211.84374518922,1889.46604551353
"CLIP2",12252.5914374919,2540.015460423
"CLIP3",7099.08651146348,2610.98946042225
"CLIP4",337.971905176103,439.107285344921
"CLK1",341.982785961135,1142.0887953994
"CLK2",296.956306995999,239.183777857949
"Clk2-scamp3",168.581685157515,177.255558213806
"CLK3",1477.41874796102,838.761397117001
"CLK4",282.902639721362,713.22869882052
"CLMN",423.267289860172,406.683588173809
"CLMP",4702.02531243982,2640.66438871483
"CLN3",231.619125533898,215.717525162724
"CLN5",39.9199166880563,80.8369663126456
"CLN6",142.348616683441,97.8883521659059
"CLN8",638.826770917424,338.752107120862
"CLNK",0.825147090274871,1.8876682992497
"CLNS1A",571.280672921573,693.202179779843
"CLOCK",347.493444060681,835.554457164959
"CLP1",178.734233347447,109.310238903684
"CLPB",1099.59070811076,450.810184495052
"CLPP",496.437059510018,307.574312299479
"CLPS",0,0.351173157903693
"CLPSL2",0,0
"CLPTM1",4383.6556035261,2064.83868041666
"CLPTM1L",2755.74439162816,1495.5560821557
"CLPX",371.863732480125,267.041257799332
"CLRN1",36.9874020571611,98.6585380739361
"CLRN2",0,0.156514600459456
"CLRN3",0.537272600493481,1.42759544227624
"CLSPN",92.8644815266623,103.655800546761
"CLSTN1",28534.1613921178,6522.79968050346
"CLSTN2",10484.1827231865,3244.26253482846
"CLSTN3",6164.0040098666,1635.949869957
"CLTA",1604.7350623607,949.30094431583
"CLTB",2024.93153034996,763.743662608158
"CLTC",8639.56197032146,3984.56070579656
"CLU",2206.07384087069,852.209293832395
"CLUAP1",237.954595104182,314.938266888899
"CLUH",1466.37178069221,776.125617786565
"CLVS1",362.233294871911,534.814675149574
"CLVS2",176.832449349702,210.726126919863
"CLYBL",17.8029132479198,30.1537352784231
"CMA1",2.44056179531283,1.63123551818471
"Cma2/Mcpt9",0.590053109623109,0.399950732324359
"Cmah",460.868019407605,2111.84447594613
"CMAS",894.235435428214,701.619876906274
"CMBL",11.4550598971035,23.6281397235463
"CMC1",69.6249080121789,91.655894687453
"CMC2",75.9505754346151,50.5960459687128
"Cmc4",20.2538464959295,72.9716290887789
"CMC4",43.9637241768512,123.831162814355
"CMIP",9721.12643545001,2141.60244563936
"CMKLR1",80.2670414503927,47.2241984980276
"CMPK1",347.487472891601,821.24376468972
"CMPK2",134.101413221058,86.1631638457074
"CMSS1",39.7304529732177,61.7742099752642
"Cmtm1",0,0.693877973974351
"CMTM2",0.133155346529602,0.260195638301162
"Cmtm2a",9.86472586371822,14.8419692259735
"CMTM3",273.872386347458,298.866717633229
"CMTM4",3188.9264724648,1770.05754290197
"CMTM5",24.6785050457144,24.4409190193889
"CMTM6",806.173494751738,431.583409237034
"CMTM7",28.3819876720561,18.8602059838118
"CMTM8",21.7196620135546,23.6221636988229
"CMTR1",2900.58788555546,820.762810060794
"CMTR2",253.825853700354,229.812966047448
"Cmya5",31.4712803658918,28.6125571305726
"CN725425",0,2.73693778886163
"CNBD1",0,0
"CNBD2",88.8134102131517,136.326829254389
"CNBP",1042.20287020757,1435.50886769355
"CNDP1",9.44247274895844,9.9398083143899
"CNDP2",665.64636155961,234.616121773013
"CNEP1R1",244.682610148586,539.950969261346
"CNFN",2.27089082771754,2.42338596914189
"CNGA1",0,0.163906301341721
"CNGA2",0.635211410127916,2.38896397563115
"CNGA3",21.8418056927288,75.0668748780913
"CNGA4",4.1665171904007,34.7909229505918
"Cngb1",11.2315737839836,22.5870760103757
"CNGB3",0,1.47788159074878
"CNIH1",554.721138972922,815.980078264084
"CNIH2",3753.65074102057,3056.71085109759
"CNIH3",1501.74270875129,590.370968285286
"CNIH4",326.138998541375,459.175676193408
"CNKSR1",2.91601647924712,1.34441240167806
"CNKSR2",597.19420823046,674.552696674657
"CNKSR3",167.040620605145,93.179892841664
"CNMD",9.54722689042314,13.3482425054073
"CNN1",5.26306743462345,8.18648659681747
"CNN2",273.655047047051,107.879098190452
"CNN3",1384.96688918697,1116.53746308875
"CNNM1",585.678393566698,327.853603544431
"CNNM2",647.530882058349,309.115527163819
"CNNM3",2386.14567782433,952.082355615676
"CNNM4",1267.94111632253,364.529344069554
"CNOT1",6628.45428124001,2741.90181580601
"CNOT10",948.462436242281,787.449153538586
"CNOT11",393.549438398599,322.929703366879
"CNOT2",368.21648961273,898.904033594887
"CNOT3",924.229282390358,911.714728953558
"CNOT4",275.546890036081,673.641129752241
"CNOT6",2759.98386277966,2806.21365221603
"CNOT6L",538.929981522453,1367.36917827741
"CNOT7",657.731380192507,2050.8605583429
"CNOT8",1115.07251265019,569.850904238946
"CNOT9",783.123345000975,802.587647173146
"CNP",402.684439918964,173.898492371999
"CNPPD1",802.019521900914,488.254185766253
"CNPY1",6.23343500668816,11.7863809542009
"CNPY2",1342.696817643,548.240492386753
"CNPY3",2233.11130396884,488.138362272958
"CNPY4",352.509063950759,253.964470115603
"CNR1",7358.82075516646,5819.30791443283
"CNR2",22.0064456332523,30.5415455597397
"CNRIP1",404.617310464146,570.749198028832
"CNST",2351.68715673321,730.842714689248
"CNTD1",8.19718443529139,26.8825585989274
"CNTF",7.33299181651407,18.4751559985267
"CNTFR",2371.18700513814,922.142622747004
"CNTLN",95.0166968604333,145.199512249035
"CNTN1",3726.41707387692,2482.39743975579
"CNTN2",52783.4945196611,11440.0058995336
"CNTN3",527.869490255168,337.607087920556
"CNTN4",519.488243719262,383.290919765945
"CNTN5",741.771422706727,893.856180456711
"CNTN6",302.756167641458,326.183381887206
"CNTNAP1",215.945796797662,156.39197075171
"CNTNAP2",570.587603576981,639.720529921957
"CNTNAP3",454.203235021128,222.528863942889
"CNTNAP4",936.637753302801,626.344413710718
"CNTNAP5",876.592100594377,631.276239454859
"Cntnap5b",480.351066985398,424.074103154595
"Cntnap5c",220.946912734713,165.984058454249
"CNTRL",208.837972575477,343.381004891866
"CNTROB",867.050259796162,587.799346127934
"COA3",237.151458995176,383.092235914178
"COA4",34.3129795751812,94.7019277715722
"COA5",546.082525462103,1221.45678690016
"Coa6",60.3837422979855,77.4408481515436
"COA7",401.1368616477,270.848720733622
"COASY",658.411325099278,202.193402571797
"COBL",637.808496364766,334.333441701954
"COBLL1",149.031785676389,108.065988075705
"COCH",121.895360542657,145.983127687878
"COG1",1719.09092163869,725.284191686852
"COG2",495.862359549109,334.364480912322
"COG3",734.291349351784,709.393678680839
"COG4",884.890881581047,422.653656302991
"COG5",438.020795587545,567.995879347657
"COG6",735.178234369294,542.064702964633
"COG7",616.391763300469,236.212173450135
"COG8",466.103186712259,357.167937073002
"COIL",250.642083098591,200.590659266776
"COL10A1",2.00253414851353,9.4209370866933
"COL11A1",752.604855503023,421.524151842893
"COL11A2",151.936910857727,135.731561682916
"COL12A1",387.623176073645,300.306203833263
"COL13A1",24.8615774340133,11.9564178909281
"COL14A1",70.3025568704542,28.1898575239492
"COL15A1",218.701008631605,243.379678562234
"COL16A1",307.990968680177,67.5474266337025
"Col17a1",10.8950032919249,26.7931423730808
"COL18A1",1586.69423077101,338.594926753148
"COL19A1",393.403694010616,278.868886407063
"COL1A1",5818.56962496909,666.420776127926
"COL1A2",2685.41899568029,377.892078558195
"COL20A1",113.758734553338,119.583397851422
